,DATE,S,I,Q,R,D,Pol1,Pol2,Pol3,Pol4,Pol5,Pol6,Pol7,Pol8,Pol9,Pol10
0,2020-01-27,51343542.07692311,6.920961788547664,5.913752913752864,5.6639859047238925,0.18789783125175508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-28,51343540.39804165,7.537149179833239,7.103799541455735,5.536595613564192,0.1879355287818037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-29,51343538.33407695,8.120930608595032,8.658745408870354,5.461840571563032,0.18792798927579396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,2020-01-30,51343536.02377626,8.632849900435776,10.48578088578084,5.433216673954662,0.18789783125175508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,2020-01-31,51343533.605886884,9.03345088095821,12.492096341971308,5.444219815973331,0.1878676732277162,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,2020-02-01,51343531.2191561,9.28327737576507,14.58488214722588,5.488345892853291,0.18786013372170646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
6,2020-02-02,51343529.00233116,9.342873210459093,16.671328671328663,5.5590907998287875,0.18789783125175508,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
7,2020-02-03,51343527.04464631,9.194816300951526,18.683422446266192,5.652655866434487,0.18798076581786202,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
8,2020-02-04,51343525.237283476,8.90982092438767,20.652334652834654,5.776064159406704,0.18801846334791064,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
9,2020-02-05,51343523.421911575,8.580635448221328,22.634032634032646,5.939044179782169,0.18789783125175508,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
10,2020-02-06,51343521.549431935,8.293405160205547,24.590599956016657,6.142488360048293,0.18759625101136618,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
11,2020-02-07,51343520.0076757,8.107863029290305,26.108585077574705,6.351944858495214,0.18745300039718146,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
12,2020-02-08,51343519.29370645,8.077138944724823,26.680652680652702,6.524125764863755,0.18789783125175508,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
13,2020-02-09,51343519.669998445,8.172701138212979,26.10767854983476,6.624122317865238,0.18902121764720373,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
14,2020-02-10,51343520.460668705,8.039371211277302,25.42338288025781,6.65054235209299,0.18955652257389402,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
15,2020-02-11,51343520.75524491,7.240309107894984,25.96969696969699,6.610372851110842,0.18789783125175508,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
16,2020-02-12,51343520.370074466,5.5043513143521645,28.18925305521164,6.519244971141301,0.1805978628023463,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
17,2020-02-13,51343522.02878362,3.223040486170773,28.92748713099791,6.4273665590415945,0.15684387195374808,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
18,2020-02-14,51343529.181818336,0.953595821181688,24.130536130536147,6.393589634327625,0.10398174733567103,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
19,2020-02-15,51343542.15946893,0.0,12.115279875956109,6.461955071721442,0.026817796164085472,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
20,2020-02-16,51343548.811403126,4.653289634377644,0.6815697439851425,6.617259166769665,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
21,2020-02-17,51343533.86713302,19.951264818850767,0.0,6.829487070225062,0.11563675899068304,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
22,2020-02-18,51343485.75782819,48.58569464787586,18.940320698323937,7.048085601551737,0.43159253212643456,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
23,2020-02-19,51343407.72128814,83.8642242155908,61.1689050490662,7.14034825505917,0.8687560137696819,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
24,2020-02-20,51343306.69696985,116.74846761605383,129.0512820512825,6.9530301937681855,1.3137719571258843,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
25,2020-02-21,51343185.562046655,141.72499334845142,225.3529978936431,6.451261738725445,1.6722220275303465,3.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0
26,2020-02-22,51343030.944557235,167.38018753248326,354.4396675232763,6.073673843080966,1.925435538837756,3.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0
27,2020-02-23,51342825.410256565,205.82539069297724,521.0769230769248,6.377272618010609,2.0736787170326463,3.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
